numero,fecha_dl,nop,litros,rcs,mc
917,01/09/2009,9,"24,6",1004,1
994,21/09/08,9,17,188,1
1119,11/04/09,9,19,3415,1
1151,27/05/08,7,"15,8",312,1
1155,29/03/10,5,14,,0
1163,14/10/09,8,"29,2",71,1
1371,21/08/09,7,28,15,1
1377,03/05/09,8,"15,2",60,1
2023,13/02/10,7,14,115,1
2030,16/07/08,5,"11,2",2245,1
2033,29/03/09,6,"31,6",84,1
2040,15/01/09,7,"9,4",533,1
2063,05/11/09,7,"24,6",403,1
2066,01/03/09,8,"15,4",100,1
2069,07/05/09,6,"19,8",,0
2092,23/07/08,7,"17,4",419,1
2094,18/04/09,7,24,671,1
2114,27/02/09,7,"23,4",546,1
2127,21/04/09,5,"24,6",175,1
2134,17/05/09,6,"22,4",216,1
2135,08/05/09,6,"17,2",1526,1
2159,03/12/08,6,"8,6",139,1
2160,19/11/09,5,25,3145,1
2166,05/06/09,6,"19,6",73,1
2193,03/08/08,6,"25,6",228,1
2195,30/04/09,5,"24,4",1441,1
2200,12/12/09,8,"18,2",251,1
2221,13/05/09,7,"23,2",259,1
2224,19/12/09,6,,,0
2227,09/04/09,5,"29,2",168,1
2235,15/12/08,6,"20,4",608,1
2243,29/04/09,6,27,133,1
2255,06/04/08,5,"20,2",228,1
2258,02/03/10,7,"27,2",2305,1
2277,16/03/10,5,"14,6",741,1
2303,15/04/2008,3,"14,2",600,1
2341,10/04/09,6,"23,8",238,1
2347,24/07/08,5,"21,6",260,1
2357,05/07/09,6,"15,2",1755,1
2358,19/11/2009,6,25,1287,1
2361,01/05/08,5,15,453,1
2372,23/04/09,6,"30,2",93,1
2381,31/05/09,4,"18,8",68,1
2385,21/02/10,5,"14,2",3645,1
2388,13/10/08,4,"22,2",1190,1
2412,12/03/09,6,"19,4",127,1
2413,13/12/08,5,"17,4",1264,1
2425,17/11/2009,6,"31,6",426,1
2429,03/05/09,5,"29,4",1476,1
2431,27/09/09,6,"36,2",86,1
2439,23/02/08,2,"11,6",529,1
2440,09/03/09,5,24,335,1
2441,03/04/09,6,17,133,1
2444,21/02/08,4,"26,4",324,1
2447,21/06/09,4,"29,4",2883,1
2454,11/05/09,5,"26,6",42,1
2460,18/03/09,4,"22,8",70,1
2462,24/08/08,3,"17,8",224,1
2478,13/12/08,5,23,187,1
2491,30/09/2009,5,14,1049,1
2492,19/06/09,4,"29,6",150,1
2509,14/08/08,4,"26,6",643,1
2510,03/05/09,5,"25,2",167,1
2511,16/04/09,5,"33,4",4,1
2515,03/04/09,5,"24,6",8,1
2516,12/07/2008,4,"24,6",68,1
2539,22/05/08,4,"27,4",473,1
2541,09/07/09,4,"31,8",521,1
2547,08/05/09,5,30,590,1
2559,29/03/10,6,21,488,1
2571,15/02/10,6,17,259,1
2576,21/09/09,5,,,0
2594,10/01/10,4,"30,2",206,1
2604,09/04/09,5,17,432,1
2605,27/02/09,4,"26,2",2563,1
2607,24/03/10,5,"20,2",113,1
2611,24/11/09,5,"37,2",150,1
2614,11/05/09,5,"25,6",1209,1
2618,18/10/09,5,25,8,1
2620,18/05/09,4,"25,8",381,1
2629,06/03/09,4,24,2410,1
2642,21/06/09,4,"33,2",101,1
2650,03/07/08,4,"24,8",538,1
2652,27/03/2008,4,"4,8",1589,1
2658,17/05/09,4,"29,8",13,1
2668,02/03/09,4,"25,2",230,1
2674,29/09/09,4,"19,2",286,1
2676,14/07/08,3,22,379,1
2679,09/08/09,5,30,297,1
2681,18/02/09,4,"22,8",155,1
2684,01/03/09,4,"16,2",725,1
2687,21/03/10,4,"34,2",10,1
2691,12/02/09,3,29,138,1
2693,21/08/09,5,"38,8",190,1
2694,04/07/09,4,"33,2",344,1
2696,17/08/09,5,26,1992,1
2699,05/12/09,4,,,0
2700,25/03/09,4,"30,2",77,1
2701,08/07/08,4,"18,4",3054,1
2708,16/12/09,5,33,1240,1
2709,02/04/08,3,"15,6",169,1
2715,07/05/09,4,24,181,1
2716,02/07/09,4,"43,6",121,1
2725,06/10/09,4,"42,8",4,1
2730,24/01/08,2,17,409,1
2743,23/06/09,4,"31,6",170,1
2744,11/01/10,3,"17,6",410,1
2748,20/05/09,4,"30,6",241,1
2751,10/08/2008,3,"19,4",346,1
2755,16/02/2008,4,"16,2",,0
2758,06/06/09,3,31,857,1
2762,12/04/09,2,,,0
2766,09/08/09,4,"33,6",11,1
2771,30/01/10,5,19,2278,1
2773,30/11/2008,4,"25,8",444,1
2774,23/02/10,5,"21,4",681,1
2780,17/12/09,4,"14,2",267,1
2782,19/08/09,4,"38,4",12,1
2784,04/08/09,5,"37,2",13,1
2786,25/02/10,5,"16,2",237,1
2791,01/10/09,4,"22,8",2,1
2800,14/10/08,3,"22,4",1008,1
2802,01/08/09,4,"34,6",614,1
