numero,fecha_dl,nop,litros,rcs,mc
994,21/09/08,9,18,1749,1
1119,11/04/09,9,"20,2",35,1
1151,27/05/08,7,"14,4",269,1
1163,14/10/09,8,"24,2",64,1
1371,21/08/09,7,29,13,1
1377,03/05/09,8,"15,6",310,1
1385,13/01/10,7,,,0
2033,29/03/09,6,"31,2",67,1
2063,05/11/09,7,24,404,1
2066,01/03/09,8,"15,2",12,1
2069,07/05/09,6,"19,6",4,1
2092,23/07/08,7,"17,6",788,1
2094,18/04/09,7,"24,4",10,1
2114,27/02/09,7,"23,6",2325,1
2127,21/04/09,5,"25,6",193,1
2134,17/05/09,6,"22,6",20,1
2135,08/05/09,6,18,222,1
2159,03/12/08,6,"13,6",60,1
2160,19/11/09,5,26,10,1
2166,05/06/09,6,"19,4",190,1
2193,03/08/08,6,"25,6",41,1
2195,30/04/09,5,"24,4",426,1
2200,12/12/09,8,"18,2",343,1
2221,13/05/09,7,"23,2",1452,1
2224,19/12/09,6,30,192,1
2227,09/04/09,5,"29,4",123,1
2235,15/12/08,6,"20,4",14,1
2243,29/04/09,6,"27,2",167,1
2255,06/04/08,5,"20,2",256,1
2303,15/04/08,3,"14,2",1582,1
2341,10/04/09,6,"24,2",,0
2347,24/07/08,5,"21,6",48,1
2357,05/07/09,6,"15,2",833,1
2358,19/11/09,6,"25,2",113,1
2361,01/05/08,5,"15,4",237,1
2372,23/04/09,6,"33,2",935,1
2381,31/05/09,4,"18,6",1146,1
2388,13/10/08,4,"22,2",144,1
2412,12/03/09,6,"19,4",278,1
2413,13/12/08,5,"20,8",116,1
2429,03/05/09,5,"29,2",96,1
2431,27/09/09,6,34,270,1
2439,23/02/08,2,"23,6",2264,1
2440,09/03/09,5,"23,6",1942,1
2441,03/04/09,6,"17,6",52,1
2444,21/02/08,4,"26,2",218,1
2447,21/06/09,4,"29,6",190,1
2454,11/05/09,5,"26,6",527,1
2460,18/03/09,4,"23,2",39,1
2462,24/08/08,3,"18,8",44,1
2478,13/12/08,5,"24,4",1610,1
2492,19/06/09,4,29,70,1
2509,14/08/08,4,"26,6",14,1
2510,03/05/09,5,"25,4",290,1
2511,16/04/09,5,"31,6",861,1
2515,03/04/09,5,"24,8",937,1
2516,12/07/08,4,24,890,1
2539,22/05/08,4,"27,8",1208,1
2541,09/07/09,4,30,945,1
2547,08/05/09,5,30,265,1
2576,21/09/09,5,,,0
2589,05/01/10,5,29,1551,1
2594,10/01/10,4,"30,8",883,1
2598,10/01/10,5,22,369,1
2604,09/04/09,5,18,1370,1
2605,27/02/09,4,"25,8",917,1
2611,24/11/09,5,"33,8",964,1
2614,11/05/09,5,"26,6",894,1
2618,18/10/09,5,"26,2",109,1
2620,18/05/09,4,"25,8",376,1
2629,06/03/09,4,"24,4",160,1
2642,21/06/09,4,"31,8",256,1
2644,08/01/10,5,"27,6",67,1
2650,03/07/08,4,"25,4",882,1
2658,17/05/09,4,"23,2",925,1
2668,02/03/09,4,26,343,1
2674,29/09/09,4,"19,4",238,1
2676,14/07/08,3,"23,4",299,1
2679,09/08/09,5,"27,4",210,1
2681,18/02/09,4,"23,4",957,1
2684,01/03/09,4,"17,6",863,1
2691,12/02/09,3,29,5164,1
2693,21/08/09,5,"38,4",74,1
2694,04/07/09,4,33,359,1
2696,17/08/09,5,"27,2",352,1
2697,19/01/10,4,"26,6",685,1
2699,05/12/09,4,,,0
2701,08/07/08,4,19,374,1
2708,16/12/09,5,"33,2",883,1
2709,02/04/08,3,"15,6",768,1
2715,07/05/09,4,25,153,1
2716,02/07/09,4,"43,2",186,1
2725,06/10/09,4,41,59,1
2730,24/01/08,2,"17,6",355,1
2743,23/06/09,4,"31,2",348,1
2744,11/01/10,3,"19,4",96,1
2745,26/12/09,4,"31,6",81,1
2748,20/05/09,4,"30,8",963,1
2751,10/08/08,3,19,628,1
2758,06/06/09,3,"31,2",965,1
2762,12/04/09,2,,,0
2766,09/08/09,4,"33,6",320,1
2780,17/12/09,4,"14,8",441,1
2782,19/08/09,4,35,217,1
2784,04/08/09,5,"36,4",128,1
2791,01/10/09,4,"21,6",713,1
2800,14/10/08,3,"22,6",981,1
2802,01/08/09,4,"33,6",919,1
2803,29/07/09,4,"26,6",634,1
2805,12/06/09,3,"27,2",62,1
2809,13/02/09,4,"28,2",385,1
2815,25/03/09,4,"17,6",933,1
2823,02/03/09,3,"22,6",956,1
2827,24/05/09,4,"29,2",402,1
2831,18/11/09,3,"33,2",930,1
2835,08/04/09,3,"20,8",872,1
2836,03/03/09,3,"21,2",985,1
2843,20/12/09,3,30,64,1
2844,21/12/09,3,26,152,1
2845,29/03/09,3,"23,6",928,1
2847,05/10/09,4,"39,4",204,1
2850,20/09/09,4,"25,8",952,1
2855,10/12/08,3,"25,8",908,1
2857,27/02/09,4,"27,6",948,1
2865,17/07/09,4,"28,2",940,1
2866,17/02/08,2,"17,2",874,1
2867,28/12/09,3,"27,8",73,1
2875,22/08/09,4,"32,4",944,1
2877,12/10/09,4,"32,6",1457,1
2882,29/07/08,3,"19,6",929,1
2892,03/06/09,4,"31,2",942,1
2900,31/08/09,4,"39,8",861,1
2901,21/03/10,4,"20,8",1744,1
2902,29/01/09,3,"22,6",927,1
2910,17/07/08,3,"26,2",850,1
2916,12/03/09,3,"18,6",88,1
2922,22/04/09,3,"40,2",475,1
2933,06/12/09,4,15,884,1
2942,08/05/09,3,"23,6",475,1
2946,20/04/08,2,19,440,1
2948,22/07/09,3,"23,8",931,1
2953,05/12/09,3,"20,8",80,1
2955,06/12/09,3,32,496,1
2956,05/04/09,3,,,0
2957,19/06/09,3,17,144,1
2964,21/04/09,3,"19,2",945,1
2965,09/10/09,4,"32,8",970,1
2967,11/11/09,4,"37,6",4200,1
2968,24/07/09,4,"38,2",280,1
2971,29/05/09,3,"19,6",952,1
2974,29/05/09,3,"25,8",102,1
2976,01/11/09,3,"38,6",2779,1
2978,27/10/09,4,"38,4",2001,1
2980,07/05/09,3,"21,2",1655,1
2981,01/10/09,3,"23,6",41,1
2987,07/10/09,3,"30,6",1014,1
2991,04/04/09,3,"31,6",155,1
2998,03/05/09,3,32,937,1
3001,16/04/09,3,"21,8",983,1
3003,29/03/09,3,"20,6",324,1
3005,15/09/09,4,32,912,1
3009,21/05/09,3,34,94,1
3010,19/10/09,3,32,1075,1
3011,17/07/09,3,"26,6",67,1
3018,28/06/09,3,"23,6",913,1
3020,30/06/09,3,"33,2",208,1
3025,14/04/09,2,"27,8",318,1
3027,24/06/09,2,"31,4",136,1
3032,24/05/09,3,"35,6",941,1
3036,05/01/10,3,"27,2",913,1
3038,11/09/09,3,"30,4",869,1
3041,24/06/09,3,"22,2",904,1
3043,01/04/08,1,15,767,1
3047,28/09/09,3,"36,8",340,1
3048,08/01/10,3,26,178,1
3052,26/08/09,3,"32,4",269,1
3055,22/02/09,3,"18,4",68,1
3062,12/05/09,3,"15,2",220,1
3063,21/07/08,2,"20,4",423,1
3068,05/06/09,2,"27,8",38,1
3069,16/06/09,2,"32,6",458,1
3077,23/07/09,3,"27,2",1004,1
3079,16/04/09,2,"29,2",870,1
3081,25/09/09,3,"38,6",677,1
3083,27/06/08,2,19,835,1
3092,10/09/08,2,20,281,1
3093,16/07/08,2,"23,4",801,1
3095,05/06/09,2,"32,4",766,1
3096,21/01/10,3,"30,2",480,1
3101,24/06/09,3,"31,6",339,1
3118,01/01/10,3,"21,2",909,1
3121,19/08/09,2,29,712,1
3125,06/04/09,2,"32,2",5052,1
3126,20/11/09,3,"32,6",95,1
3136,21/08/09,2,34,831,1
3140,11/07/08,2,10,849,1
3148,19/10/09,3,30,908,1
3149,13/10/09,2,"35,2",2858,1
3150,28/06/09,2,"27,8",242,1
3157,14/08/09,3,28,413,1
3158,20/10/09,2,"32,4",956,1
3161,23/10/09,3,38,1019,1
3166,12/04/08,1,12,987,1
3167,09/05/09,2,37,893,1
3171,08/05/09,2,21,992,1
3172,06/06/09,2,31,834,1
3176,01/01/10,2,,,0
3177,30/09/09,3,"39,6",938,1
3183,21/09/09,2,38,556,1
3184,29/06/09,2,"22,2",881,1
3188,05/07/09,2,"28,6",734,1
3195,03/05/09,1,30,1195,1
3196,27/06/09,2,24,744,1
3199,29/09/09,2,"34,2",842,1
