numero,rcs,nop,dl,mc,litros
1,100,33,143,0,13
2,200,1,69,0,"10,66"
3,155,33,88,0,"10,66"
4,224,33,418,0,"10,66"
5,215,33,255,0,25
6,216,33,88,0,"10,66"
7,162,33,184,0,"10,66"
8,225,33,224,0,"10,66"
9,222,1,110,0,21
10,95,1,256,0,"10,66"
11,32,33,48,0,"10,66"
12,400,33,148,0,"10,66"
13,500,33,260,0,"10,66"
14,220,33,129,0,"10,66"
15,659,33,181,0,12
16,325,33,221,0,"10,66"
17,568,33,238,0,"10,66"
18,177,1,114,0,"10,66"
19,193,1,223,0,"10,66"
20,2027,33,279,0,22
21,505,1,222,0,"10,66"
22,638,33,67,0,"10,66"
23,724,1,226,0,"10,66"
24,245,1,117,0,"10,66"
25,198,1,,0,"10,66"
26,144,1,248,0,"10,66"
28,366,1,47,0,36
29,28,33,229,0,"10,66"
30,107,33,112,0,"10,66"
31,306,33,120,0,"10,66"
32,165,1,101,0,"10,66"
33,1295,1,323,0,5
65,175,1,260,0,"10,66"
66,400,33,151,0,"10,66"
67,421,33,204,0,"10,66"
68,490,33,501,0,2
69,150,1,121,0,"10,66"
70,170,33,238,0,"10,66"
40,857,33,293,0,"10,66"
41,730,33,165,0,"10,66"
42,484,33,544,0,8
43,1443,1,301,0,"10,66"
44,38,33,557,0,"10,66"
45,481,33,205,0,"13,3"
