numero,rcs,nop,dl,mc,fecha_dl,litros
1,2070,33,143,0,25/02/2015,100
2,881,1,69,0,25/02/2015,101
3,251,33,88,0,24/02/2015,102
4,178,33,418,0,24/02/2015,103
5,541,33,255,0,25/02/2015,104
6,216,33,88,0,25/02/2015,105
7,1162,33,184,0,24/02/2015,106
8,415,33,224,0,24/02/2015,107
9,180,1,110,0,25/02/2015,108
10,387,1,256,0,25/02/2015,109
11,382,33,48,0,24/02/2015,110
12,136,33,148,0,24/02/2015,111
13,940,33,260,0,25/02/2015,112
14,491,33,129,0,25/02/2015,113
15,659,33,181,0,24/02/2015,114
16,325,33,221,0,24/02/2015,115
17,568,33,238,0,25/02/2015,116
18,177,1,114,0,25/02/2015,117
19,93,1,223,0,24/02/2015,118
20,2027,33,279,0,24/02/2015,119
21,505,1,222,0,25/02/2015,120
22,638,33,67,0,25/02/2015,121
23,724,1,226,0,24/02/2015,122
24,167,1,117,0,24/02/2015,123
25,198,1,,0,25/02/2015,124
26,144,1,248,0,25/02/2015,125
28,366,1,47,0,24/02/2015,126
29,478,33,229,0,24/02/2015,127
30,107,33,112,0,24/02/2015,128
