numero,rcs,nop,dl,mc
1,2070,33,143,0
2,881,1,69,0
3,251,33,88,0
4,178,33,418,0
5,541,33,255,0
6,216,33,88,0
7,1162,33,184,0
8,415,33,224,0
9,180,1,110,0
10,387,1,256,0
11,382,33,48,0
12,136,33,148,0
13,940,33,260,0
14,491,33,129,0
15,659,33,181,0
16,325,33,221,0
17,568,33,238,0
18,177,1,114,0
19,93,1,223,0
20,2027,33,279,0
21,505,1,222,0
22,638,33,67,0
23,724,1,226,0
24,167,1,117,0
25,198,1,,0
26,144,1,248,0
28,366,1,47,0
29,478,33,229,0
30,107,33,112,0
31,306,33,120,0
32,165,1,101,0
33,1295,1,323,0
34,175,1,260,0
35,807,33,151,0
36,421,33,204,0
37,490,33,501,0
38,257,1,121,0
39,170,33,238,0
40,857,33,293,0
41,730,33,165,0
42,484,33,544,0
43,1443,1,301,0
44,896,33,557,0
45,481,33,205,0
46,,33,268,1
47,577,5,179,0
48,7437,2,221,0
49,632,4,124,0
50,110,4,53,0
51,1556,5,76,0
52,33,3,95,0
53,108,4,71,0
54,7791,5,141,0
55,742,1,63,0
56,345,2,232,0
57,869,4,133,0
58,2823,4,95,0
59,5255,5,79,0
60,4051,4,159,0
61,136,3,115,0
62,38,,,0
63,375,4,208,0
64,687,5,198,0
65,1001,2,227,0
66,452,4,204,0
67,25,1,20,0
68,517,5,158,0
69,144,4,97,0
70,3427,2,232,0
71,88,3,11,0
72,19,1,37,0
73,3886,5,13,0
74,529,3,170,0
75,62,2,118,0
76,2920,3,61,0
77,1465,4,265,0
78,,3,20,1
79,252,3,19,0
80,77,1,13,0
81,679,5,190,0
82,357,4,184,0
83,463,4,96,0
84,896,5,24,0
85,1332,4,240,0
86,220,4,37,0
87,5025,3,111,0
88,139,3,103,0
89,,,,1
90,486,1,188,0
91,63,1,76,0
92,30,1,73,0
93,1190,2,272,0
94,1021,2,206,0
95,912,2,125,0
96,103,1,238,0
97,2997,1,314,0
98,160,2,191,0
99,135,1,150,0
100,75,1,193,0
101,24,1,45,0
102,2008,2,33,0
103,7133,3,55,0
104,530,2,235,0
105,7866,2,240,0
106,1601,1,202,0
107,283,,,0
108,204,1,169,0
109,486,1,66,0
110,1242,2,57,0
111,58,1,78,0
112,7296,2,69,0
113,748,1,140,0
114,7755,2,114,0
115,,2,159,1
116,375,,,0
117,693,2,91,0
118,357,2,234,0
119,731,,,0
120,,2,183,1
121,2357,2,120,0
122,298,2,243,0
123,775,3,60,0
124,517,1,75,0
125,4888,2,260,0
126,,2,269,1
127,,3,11,1
128,4940,,,0
129,844,33,290,0
130,1909,33,93,0
131,559,33,100,0
132,720,33,287,0
133,707,33,184,0
134,1664,33,123,0
135,351,,,0
136,343,33,106,0
137,444,33,70,0
138,102,33,109,0
139,,,,1
140,1105,33,180,0
141,231,,,0
142,213,33,354,0
143,317,33,171,0
144,2060,33,277,0
145,814,33,55,0
146,1383,33,19,0
147,207,33,189,0
148,1348,1,68,0
149,137,33,125,0
150,4762,33,196,0
151,97,1,39,0
152,397,1,187,0
153,60,1,63,0
154,384,33,54,0
155,581,33,26,0
156,641,33,176,0
157,150,33,187,0
158,141,33,169,0
159,3587,33,26,0
160,364,1,100,0
161,198,33,27,0
162,,,,1
163,1134,3,31,0
164,717,1,243,0
165,128,33,84,0
166,2596,33,117,0
167,167,1,39,0
168,,33,54,1
169,34,1,58,0
170,1655,1,16,0
171,1774,1,63,0
172,107,1,36,0
173,728,1,30,0
