numero,rcs,dl,nop,mc
1,2070,143,33,0
2,881,69,1,0
3,251,88,33,0
4,178,418,33,0
5,541,255,33,0
6,216,88,33,0
7,1162,184,33,0
8,415,224,33,0
9,180,110,1,0
10,387,256,1,0
11,382,48,33,0
12,136,148,33,0
13,940,260,33,0
14,491,129,33,0
15,659,181,33,0
16,325,221,33,0
17,568,238,33,0
18,177,114,1,0
19,93,223,1,0
20,2027,279,33,0
21,505,222,1,0
22,638,67,33,0
23,724,226,1,0
24,167,117,1,0
25,198,,1,0
26,144,248,1,0
28,366,47,1,0
29,478,229,33,0
30,107,112,33,0
31,306,120,33,0
32,165,101,1,0
33,1295,323,1,0
34,175,260,1,0
35,807,151,33,0
36,421,204,33,0
37,490,501,33,0
38,257,121,1,0
39,170,238,33,0
40,857,293,33,0
41,730,165,33,0
42,484,544,33,0
43,1443,301,1,0
44,896,557,33,0
45,481,205,33,0
